Vị trí công việc,Nơi làm việc,Mức lương,Thời gian đăng,Kỹ năng yêu cầu,Đường link chi tiết
"Senior Business Intelligence Associate (Operation) - Business Intelligence & Planning, Shopee Shopee Thoả thuận · TP.Hồ Chí Minh Senior Business Analyst 12 ngày trước",TP. Hồ Chí Minh,Thỏa thuận,12 ngày trước,"Python, SQL, Excel, Machine Learning, R",https://jobs.xomdata.com/jobs/26930
Business Analyst Công Ty Cổ Phần Phần Mềm Vitex Việt Nam Upto 25.000.000VND/tháng · Hà Nội Business Analyst 13 ngày trước,Hà Nội,Thỏa thuận,13 ngày trước,"Excel, Machine Learning, R",https://jobs.xomdata.com/jobs/684988
Technical Business Analyst (Fintech Lending) Công ty Cổ phần Dịch vụ Fincon Global 25 - 35 triệu · Hà Nội 2 năm Business Analyst 13 ngày trước,Hà Nội,25 - 35 triệu,13 ngày trước,"Machine Learning, R",https://jobs.xomdata.com/jobs/684893
Data Engineer De Heus LLC Thoả thuận · TP.Hồ Chí Minh 5 năm Data Engineer 13 ngày trước,TP. Hồ Chí Minh,Thỏa thuận,13 ngày trước,"SQL, Spark, Azure, Machine Learning, R",https://jobs.xomdata.com/jobs/684861
Senior BI Analyst Bee Logistics Corporation 25 - 30 triệu · Hà Nội 5 năm Senior Business Analyst 13 ngày trước,Hà Nội,25 - 30 triệu,13 ngày trước,"Power BI, Tableau, Machine Learning, R",https://jobs.xomdata.com/jobs/684826
"Chuyên viên cao cấp, Chuyên Gia Phân tích dữ liệu Tuân thủ - Khối Pháp chế và Tuân thủ (2026TD450951) NGÂN HÀNG TMCP QUÂN ĐỘI – MBBANK Thoả thuận · Hà Nội 3 năm Expert Data Analyst 13 ngày trước",Hà Nội,Thỏa thuận,13 ngày trước,"Machine Learning, R",https://jobs.xomdata.com/jobs/684808
Chuyên Gia Phân tích dữ liệu và xây dựng mô hình phát hiện gian lận - Khối Quản trị rủi ro (2026TD453499) NGÂN HÀNG TMCP QUÂN ĐỘI – MBBANK Thoả thuận · Hà Nội 1 năm Expert Data Analyst 13 ngày trước,Hà Nội,Thỏa thuận,13 ngày trước,"Machine Learning, R",https://jobs.xomdata.com/jobs/684809
HR Systems & People Data Governance Expert Tập Đoàn Sun Group Thoả thuận · Hà Nội 7 năm Expert Data Analyst 13 ngày trước,Hà Nội,Thỏa thuận,13 ngày trước,"Machine Learning, R",https://jobs.xomdata.com/jobs/684810
"Expert, Data Engineer - Techcomlife Techcombank Thoả thuận · Hà Nội 7 năm Expert Data Engineer 13 ngày trước",Hà Nội,Thỏa thuận,13 ngày trước,"Python, SQL, Tableau, Spark, Machine Learning, R",https://jobs.xomdata.com/jobs/684797
Trưởng Nhóm Business Analyst CÔNG TY CỔ PHẦN CASPER VIỆT NAM Thoả thuận · Hà Nội Manager Business Analyst 13 ngày trước,Hà Nội,Thỏa thuận,13 ngày trước,"Machine Learning, R",https://jobs.xomdata.com/jobs/684781
