link,kynangchitiet
https://jobs.xomdata.com/jobs/685059,Excel
https://jobs.xomdata.com/jobs/685059,Spark
https://jobs.xomdata.com/jobs/685059,Machine Learning
https://jobs.xomdata.com/jobs/685059,R
https://jobs.xomdata.com/jobs/685058,Python
https://jobs.xomdata.com/jobs/685058,SQL
https://jobs.xomdata.com/jobs/685058,Tableau
https://jobs.xomdata.com/jobs/685058,Spark
https://jobs.xomdata.com/jobs/685058,Machine Learning
https://jobs.xomdata.com/jobs/685058,R
https://jobs.xomdata.com/jobs/685057,Python
https://jobs.xomdata.com/jobs/685057,Machine Learning
https://jobs.xomdata.com/jobs/685057,R
https://jobs.xomdata.com/jobs/685057,Git
https://jobs.xomdata.com/jobs/685054,Python
https://jobs.xomdata.com/jobs/685054,AWS
https://jobs.xomdata.com/jobs/685054,Azure
https://jobs.xomdata.com/jobs/685054,Machine Learning
https://jobs.xomdata.com/jobs/685054,R
https://jobs.xomdata.com/jobs/685054,Git
https://jobs.xomdata.com/jobs/685053,Python
https://jobs.xomdata.com/jobs/685053,SQL
https://jobs.xomdata.com/jobs/685053,Spark
https://jobs.xomdata.com/jobs/685053,AWS
https://jobs.xomdata.com/jobs/685053,Machine Learning
https://jobs.xomdata.com/jobs/685053,R
https://jobs.xomdata.com/jobs/685053,Git
https://jobs.xomdata.com/jobs/685052,Python
https://jobs.xomdata.com/jobs/685052,SQL
https://jobs.xomdata.com/jobs/685052,Machine Learning
https://jobs.xomdata.com/jobs/685052,R
https://jobs.xomdata.com/jobs/685051,Python
https://jobs.xomdata.com/jobs/685051,Pandas
https://jobs.xomdata.com/jobs/685051,NumPy
https://jobs.xomdata.com/jobs/685051,Machine Learning
https://jobs.xomdata.com/jobs/685051,R
https://jobs.xomdata.com/jobs/685049,Python
https://jobs.xomdata.com/jobs/685049,SQL
https://jobs.xomdata.com/jobs/685049,Spark
https://jobs.xomdata.com/jobs/685049,Docker
https://jobs.xomdata.com/jobs/685049,ETL
https://jobs.xomdata.com/jobs/685049,Machine Learning
https://jobs.xomdata.com/jobs/685049,R
https://jobs.xomdata.com/jobs/685048,SQL
https://jobs.xomdata.com/jobs/685048,Power BI
https://jobs.xomdata.com/jobs/685048,Excel
https://jobs.xomdata.com/jobs/685048,Machine Learning
https://jobs.xomdata.com/jobs/685048,R
https://jobs.xomdata.com/jobs/685048,Git
https://jobs.xomdata.com/jobs/685045,Machine Learning
